2026-06-18 17:51:09.958 GMT [1] LOG:  starting PostgreSQL 15.18 (Debian 15.18-1.pgdg13+1) on x86_64-pc-linux-gnu, compiled by gcc (Debian 14.2.0-19) 14.2.0, 64-bit
2026-06-18 17:51:09.959 GMT [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
2026-06-18 17:51:09.959 GMT [1] LOG:  listening on IPv6 address "::", port 5432
2026-06-18 17:51:09.966 GMT [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
2026-06-18 17:51:09.977 GMT [30] LOG:  database system was shut down at 2026-06-18 17:50:57 GMT
2026-06-18 17:51:09.991 GMT [1] LOG:  database system is ready to accept connections
2026-06-18 17:51:30.033 GMT [53] LOG:  received replication command: IDENTIFY_SYSTEM
2026-06-18 17:51:30.033 GMT [53] STATEMENT:  IDENTIFY_SYSTEM
2026-06-18 17:51:30.038 GMT [53] LOG:  received replication command: START_REPLICATION SLOT "debezium_slot" LOGICAL 0/1E3C3F0 ("proto_version" '1', "publication_names" 'cdc_publication', "messages" 'true')
2026-06-18 17:51:30.038 GMT [53] STATEMENT:  START_REPLICATION SLOT "debezium_slot" LOGICAL 0/1E3C3F0 ("proto_version" '1', "publication_names" 'cdc_publication', "messages" 'true')
2026-06-18 17:51:30.039 GMT [53] LOG:  starting logical decoding for slot "debezium_slot"
2026-06-18 17:51:30.039 GMT [53] DETAIL:  Streaming transactions committing after 0/19A4578, reading WAL from 0/19A4540.
2026-06-18 17:51:30.039 GMT [53] STATEMENT:  START_REPLICATION SLOT "debezium_slot" LOGICAL 0/1E3C3F0 ("proto_version" '1', "publication_names" 'cdc_publication', "messages" 'true')
2026-06-18 17:51:30.040 GMT [53] LOG:  logical decoding found consistent point at 0/19A4540
2026-06-18 17:51:30.040 GMT [53] DETAIL:  There are no running transactions.
2026-06-18 17:51:30.040 GMT [53] STATEMENT:  START_REPLICATION SLOT "debezium_slot" LOGICAL 0/1E3C3F0 ("proto_version" '1', "publication_names" 'cdc_publication', "messages" 'true')
2026-06-18 17:56:10.041 GMT [28] LOG:  checkpoint starting: time
2026-06-18 17:56:10.809 GMT [28] LOG:  checkpoint complete: wrote 10 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.714 s, sync=0.020 s, total=0.768 s; sync files=6, longest=0.015 s, average=0.004 s; distance=10 kB, estimate=10 kB
2026-06-18 17:56:22.145 GMT [1] LOG:  received fast shutdown request
2026-06-18 17:56:22.148 GMT [1] LOG:  aborting any active transactions
2026-06-18 17:56:22.150 GMT [1] LOG:  background worker "logical replication launcher" (PID 33) exited with exit code 1
2026-06-18 17:56:22.150 GMT [28] LOG:  shutting down
2026-06-18 17:56:22.153 GMT [28] LOG:  checkpoint starting: shutdown immediate
2026-06-18 17:56:22.171 GMT [28] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.005 s, total=0.022 s; sync files=4, longest=0.003 s, average=0.002 s; distance=4 kB, estimate=10 kB
2026-06-18 17:56:22.176 GMT [1] LOG:  database system is shut down
